,x,n,u,T,q
27,-0.4472361809045226,0.999999986480384,4.538946145117367e-08,0.9999999011395126,2.551926988179694e-07
28,-0.4271356783919598,0.9999999752320018,8.176437000018368e-08,0.9999998250567217,4.4435426628552675e-07
29,-0.407035175879397,0.9999999551270246,1.4561437957531663e-07,0.99999969405447,7.644411869568293e-07
30,-0.3869346733668341,0.9999999195911198,2.5640713691565023e-07,0.9999994711769828,1.2994278337232148e-06
31,-0.36683417085427134,0.9999998574731337,4.464672584521806e-07,0.9999990964753974,2.1826962318568935e-06
32,-0.34673366834170855,0.9999997500803378,7.688123400231858e-07,0.9999984739487715,3.6232870227465836e-06
33,-0.32663316582914576,0.9999995664452762,1.3093287995044654e-06,0.9999974518652974,5.944379572232899e-06
34,-0.30653266331658297,0.9999992558617075,2.20543095834685e-06,0.9999957935779444,9.638704210035566e-06
35,-0.28643216080402006,0.9999987362506687,3.67428028230824e-06,0.999993134913504,1.544691910420446e-05
36,-0.2663316582914573,0.9999978762334631,6.054926263273325e-06,0.9999889228815138,2.4466546121703577e-05
37,-0.24623115577889448,0.9999964678360115,9.870440562507722e-06,0.9999823287885554,3.8300846709145406e-05
38,-0.2261306532663317,0.9999941854783014,1.5918268371149636e-05,0.9999721269259322,5.925886847887898e-05
39,-0.2060301507537688,0.9999905252795208,2.5399525876232587e-05,0.9999565281059728,9.061928190007213e-05
40,-0.185929648241206,0.9999847166887511,4.0100649018603115e-05,0.9999329559922333,0.00013697050557357572
41,-0.1658291457286432,0.9999755958917588,6.264353303675112e-05,0.9998977540370354,0.00020463658092726821
42,-0.14572864321608042,0.9999614269988825,9.6823352700377e-05,0.9998458121683125,0.0003021913248961896
43,-0.12562814070351763,0.999939652144558,0.00014805745019319462,0.9997701044510776,0.00044105321531640984
44,-0.10552763819095473,0.999906544985337,0.00022397495499460832,0.9996611300803753,0.0006361435647279255
45,-0.08542713567839194,0.999856734488116,0.0003351844691938464,0.9995062490729294,0.0009065852317977327
46,-0.06532663316582915,0.999782560453597,0.0004962612186202994,0.9992889037539747,0.0012764188069506065
47,-0.04522613065326636,0.9996732241610472,0.0007269849434322201,0.998987727952089,0.001775307219575508
48,-0.02512562814070357,0.9995137106350901,0.0010538238322770305,0.998575584157934,0.002439164257053838
49,-0.00502512562814067,0.9992834777881052,0.0015115990590727464,0.9980186449779733,0.003310553702050775
50,0.01507537688442201,0.9989549095580545,0.0021452111215984893,0.997275730107176,0.004438571795063142
51,0.03517587939698491,0.9984914807638545,0.0030113301580509746,0.9962981573720309,0.0058778215629892465
52,0.05527638190954781,0.9978454681726497,0.004180109119372514,0.9950302690167567,0.007686152133073358
53,0.07537688442211049,0.9969549361463321,0.0057372303539003485,0.9934105023646143,0.009921187217952368
54,0.09547738693467339,0.9957398246484024,0.007786697858557895,0.9913725050410338,0.012636240700088373
55,0.11557788944723629,0.9940975240914186,0.010454320891497518,0.9888457004173588,0.01587664191908753
56,0.13567839195979897,0.9918993526056136,0.013890532790868788,0.9857553346790819,0.01967718950297224
57,0.15577889447236187,0.9889902058024485,0.018269538781788445,0.9820235010014878,0.024060087138741682
58,0.17587939698492455,0.9851928421758829,0.02378147977508454,0.9775741956058579,0.02903083730192265
59,0.19597989949748745,0.9803142993356406,0.030617687711810917,0.9723453553477355,0.03456886410217292
60,0.21608040201005035,0.9741455264772994,0.03895698562287351,0.966307089562843,0.0406121169650555
61,0.23618090452261303,0.9664420288522264,0.04896928932025832,0.9594777637607482,0.04704096254746552
62,0.25628140703517593,0.956883201193762,0.06085108910709206,0.9519222580313712,0.05367309839303482
63,0.2763819095477386,0.9450378841811147,0.07488402398397567,0.9437184271462372,0.06028148895855437
64,0.2964824120603015,0.9304017166528427,0.0914637293988762,0.934897257108868,0.06663608612165964
65,0.3165829145728644,0.9125756619582364,0.11101069821837745,0.9253976840897309,0.07255049586692007
66,0.3366834170854271,0.8915652113579694,0.13370480574597593,0.9151082665658389,0.07790111599093458
67,0.35678391959799,0.8679761458854977,0.15913689524991087,0.9040557115640638,0.08259441006151054
68,0.3768844221105527,0.842671358199955,0.1862401847602185,0.8926913615285621,0.08648856173262816
69,0.3969849246231156,0.815534549041535,0.21405202777128354,0.8820136298686132,0.08930931254205413
70,0.4170854271356785,0.7838042721627608,0.24344242395751747,0.8731576260641579,0.09061326511875925
71,0.43718592964824116,0.7421053643381722,0.27855435711382054,0.8664169490694682,0.08984949155447791
